ID,FirstYear,LastYear
16769,1968,1972
16774,1960,1960
16816,1996,2008
16850,1992,2004
16858,1900,1900
16860,2016,2016
16885,1996,1996
16895,1968,1968
16918,2016,2016
16926,2016,2016
16942,1996,1996
16959,1976,1976
16970,2000,2000
16990,1924,1924
16994,1972,1972
16995,2012,2016
16998,1992,2012
17045,1996,2000
17098,1964,1964
17099,1968,1968
17106,1964,1964
17121,1936,1936
17130,2004,2004
17147,2008,2008
17169,1972,1972
17176,2000,2000
17179,1964,1968
17182,1960,1960
17183,2016,2016
17188,2004,2004
17189,2000,2000
17191,1992,1996
17193,1912,1912
17194,1996,2004
17228,1900,1900
17247,1932,1932
17254,2016,2016
17282,1996,1996
17284,2008,2008
17313,1972,1972
17349,1968,1968
17360,1948,1948
17365,1972,1972
17387,1976,1976
17415,2012,2016
17438,2000,2000
17456,1992,1992
17480,1924,1924
17486,1972,1972
17487,1968,1972
17488,1952,1952
17494,2000,2008
17510,2000,2000
17523,2004,2008
17541,1992,1996
17546,2008,2008
17551,1988,1988
17556,2008,2012
17557,1988,1992
17561,2016,2016
17564,2012,2012
17588,2008,2008
17610,1948,1948
17634,1996,1996
17684,2012,2016
17687,2008,2016
17703,1980,1980
17711,1984,1984
17715,1936,1936
17727,1968,1968
17733,1992,1992
17771,1960,1960
17819,1976,1976
17829,1976,1976
17841,1976,1984
17842,1976,1976
17851,1964,1964
17895,1964,1964
17901,1968,1968
17978,1948,1948
18006,2016,2016
18015,1996,1996
18030,1968,1968
18031,1964,1968
18043,2004,2004
18051,1948,1948
18065,2004,2004
18071,2004,2004
18082,1964,1964
18104,1932,1932
18114,1964,1964
18132,2000,2000
18154,1972,1972
18211,1988,1992
18217,1968,1968
18225,2004,2004
18231,1996,1996
18232,1984,1984
18271,2012,2016
18278,2016,2016
18301,1936,1936
18325,2000,2000
18328,1912,1912
18355,2004,2004
18357,2004,2012
18411,2008,2016
18419,1948,1948
18425,1960,1960
18427,1964,1968
18430,1984,1992
18433,1980,1988
18445,2008,2008
18461,1976,1976
18474,1972,1972
18498,2000,2000
18499,1968,1968
18511,2016,2016
18514,2000,2000
18551,1996,1996
18573,1996,1996
18582,1960,1960
18583,2004,2004
18606,2004,2012
18609,1924,1924
18619,1948,1948
18620,1996,2004
18637,2016,2016
18645,1972,1980
18647,1948,1948
18669,1932,1932
18689,2008,2016
18696,1984,1984
18698,2000,2000
18709,2000,2000
18713,1992,1992
18717,1992,1992
18720,1980,1980
18761,1996,1996
18766,1968,1968
18768,1936,1936
18810,1992,1992
18860,2008,2008
18861,1988,1988
18866,1972,1972
18871,1960,1964
18877,2012,2012
18887,2008,2012
18900,2000,2000
18903,1988,1992
18905,2000,2000
18919,1992,1992
18927,1972,1972
18930,2016,2016
18941,1948,1948
18947,2012,2012
18959,1968,1968
18994,1988,1988
19013,1968,1968
19021,2012,2016
19024,2000,2008
19046,1988,1988
19050,1996,1996
19053,1976,1976
19103,1984,1984
19122,1936,1936
19123,2016,2016
19140,2004,2008
19144,1984,1984
19156,2004,2004
19160,2000,2012
19172,1992,1992
19178,1948,1948
19179,1956,1956
19200,1996,1996
19211,1996,2000
19223,2000,2000
19228,1980,1988
19236,1992,1992
19237,1960,1964
19258,1908,1912
19260,1920,1920
19265,1960,1960
19273,2012,2016
19349,2016,2016
19361,2000,2004
19368,2012,2016
19370,2004,2004
19371,1936,1948
19373,1972,1972
19394,1992,2000
19415,1988,1988
19416,1996,1996
19418,2000,2000
